component_id,node_count,user_count,merchant_count,edge_count,density
128,5,4,1,4,1.0
129,2,1,1,1,1.0
130,8,6,2,7,0.583333
131,50,36,14,49,0.097222
132,3,2,1,2,1.0
133,10,7,3,9,0.428571
134,4,3,1,3,1.0
135,10,7,3,9,0.428571
136,38,28,10,37,0.132143
137,6,5,1,5,1.0
138,14,11,3,13,0.393939
139,3,2,1,2,1.0
140,4,3,1,3,1.0
141,2,1,1,1,1.0
142,7,4,3,6,0.5
143,4,3,1,3,1.0
144,2,1,1,1,1.0
145,3,2,1,2,1.0
146,48,35,13,47,0.103297
147,29,22,7,28,0.181818
148,4,2,2,3,0.75
149,11,9,2,10,0.555556
150,15,10,5,14,0.28
151,3,2,1,2,1.0
152,4,3,1,3,1.0
153,4,3,1,3,1.0
154,3,2,1,2,1.0
155,9,7,2,8,0.571429
156,3,2,1,2,1.0
157,4,3,1,3,1.0
158,42,31,11,41,0.120235
159,6,5,1,5,1.0
160,7,5,2,6,0.6
161,4,3,1,3,1.0
162,5,3,2,4,0.666667
163,3,2,1,2,1.0
164,5,4,1,4,1.0
165,7,5,2,6,0.6
166,3,2,1,2,1.0
167,4,3,1,3,1.0
168,2,1,1,1,1.0
169,2,1,1,1,1.0
170,3,2,1,2,1.0
171,9,6,3,8,0.444444
172,7,4,3,6,0.5
173,4,3,1,3,1.0
174,7,4,3,6,0.5
175,5,4,1,4,1.0
176,10,7,3,9,0.428571
177,7,5,2,6,0.6
178,2,1,1,1,1.0
179,6,4,2,5,0.625
180,5,3,2,4,0.666667
181,4,3,1,3,1.0
182,6,5,1,5,1.0
183,18,13,5,17,0.261538
184,2,1,1,1,1.0
185,9,7,2,8,0.571429
186,31,23,8,30,0.163043
187,4,3,1,3,1.0
188,6,5,1,5,1.0
189,23,15,8,22,0.183333
190,13,10,3,12,0.4
191,4,3,1,3,1.0
192,12,8,4,11,0.34375
193,6,4,2,5,0.625
194,3,2,1,2,1.0
195,2,1,1,1,1.0
196,5,4,1,4,1.0
197,15,10,5,14,0.28
198,9,7,2,8,0.571429
199,13,11,2,12,0.545455
200,2,1,1,1,1.0
201,9,6,3,8,0.444444
202,8,6,2,7,0.583333
203,37,28,9,36,0.142857
204,4,3,1,3,1.0
205,5,4,1,4,1.0
206,3,2,1,2,1.0
207,3,2,1,2,1.0
208,3,2,1,2,1.0
209,4,3,1,3,1.0
210,5,3,2,4,0.666667
211,5,4,1,4,1.0
212,5,4,1,4,1.0
213,18,12,6,17,0.236111
214,3,2,1,2,1.0
215,4,3,1,3,1.0
216,7,6,1,6,1.0
217,5,4,1,4,1.0
218,2,1,1,1,1.0
219,10,7,3,9,0.428571
220,5,3,2,4,0.666667
221,4,3,1,3,1.0
222,5,3,2,4,0.666667
223,4,3,1,3,1.0
224,4,3,1,3,1.0
225,2,1,1,1,1.0
226,3,2,1,2,1.0
227,4,3,1,3,1.0
228,4,3,1,3,1.0
229,4,3,1,3,1.0
230,4,3,1,3,1.0
231,5,4,1,4,1.0
232,3,2,1,2,1.0
233,4,3,1,3,1.0
234,4,3,1,3,1.0
235,12,8,4,11,0.34375
236,7,5,2,6,0.6
237,3,2,1,2,1.0
238,3,2,1,2,1.0
239,4,3,1,3,1.0
240,3,2,1,2,1.0
241,6,5,1,5,1.0
242,2,1,1,1,1.0
243,2,1,1,1,1.0
244,3,2,1,2,1.0
245,34,26,8,33,0.158654
246,3,2,1,2,1.0
247,4,3,1,3,1.0
248,4,3,1,3,1.0
249,3,2,1,2,1.0
250,5,4,1,4,1.0
251,4,3,1,3,1.0
252,6,4,2,5,0.625
253,2,1,1,1,1.0
254,5,4,1,4,1.0
255,3,2,1,2,1.0
256,3,2,1,2,1.0
257,3,2,1,2,1.0
258,8,5,3,7,0.466667
259,14,10,4,13,0.325
260,5,3,2,4,0.666667
261,8,6,2,7,0.583333
262,5,4,1,4,1.0
263,4,3,1,3,1.0
264,29,21,8,28,0.166667
265,6,4,2,5,0.625
266,8,6,2,7,0.583333
267,2,1,1,1,1.0
268,3,2,1,2,1.0
269,4,3,1,3,1.0
270,11,9,2,10,0.555556
271,4,3,1,3,1.0
272,27,22,5,26,0.236364
273,3,2,1,2,1.0
274,9,6,3,8,0.444444
275,3,2,1,2,1.0
276,4,3,1,3,1.0
277,12,9,3,11,0.407407
278,9,7,2,8,0.571429
279,9,7,2,8,0.571429
280,4,3,1,3,1.0
281,21,14,7,20,0.204082
282,5,4,1,4,1.0
283,11,7,4,10,0.357143
284,3,2,1,2,1.0
285,3,2,1,2,1.0
286,5,4,1,4,1.0
287,3,2,1,2,1.0
288,9,7,2,8,0.571429
289,3,2,1,2,1.0
290,3,2,1,2,1.0
291,3,2,1,2,1.0
292,8,6,2,7,0.583333
293,6,5,1,5,1.0
294,3,2,1,2,1.0
295,11,9,2,10,0.555556
296,2,1,1,1,1.0
297,4,3,1,3,1.0
298,4,3,1,3,1.0
299,8,6,2,7,0.583333
300,4,2,2,3,0.75
301,7,5,2,6,0.6
302,5,3,2,4,0.666667
303,3,2,1,2,1.0
304,9,6,3,8,0.444444
305,2,1,1,1,1.0
306,3,2,1,2,1.0
307,49,35,14,48,0.097959
308,7,5,2,6,0.6
309,4,2,2,3,0.75
310,2,1,1,1,1.0
311,5,4,1,4,1.0
312,4,3,1,3,1.0
313,11,8,3,10,0.416667
314,7,5,2,6,0.6
315,6,4,2,5,0.625
316,9,7,2,8,0.571429
317,4,3,1,3,1.0
318,6,4,2,5,0.625
319,4,3,1,3,1.0
320,7,5,2,6,0.6
321,9,6,3,8,0.444444
322,9,7,2,8,0.571429
323,3,2,1,2,1.0
324,3,2,1,2,1.0
325,8,6,2,7,0.583333
326,2,1,1,1,1.0
327,3,2,1,2,1.0
328,5,4,1,4,1.0
329,4,3,1,3,1.0
330,6,5,1,5,1.0
331,3,2,1,2,1.0
332,5,4,1,4,1.0
333,4,3,1,3,1.0
334,5,4,1,4,1.0
335,10,7,3,9,0.428571
336,9,7,2,8,0.571429
337,3,2,1,2,1.0
338,15,12,3,14,0.388889
339,11,7,4,10,0.357143
340,3,2,1,2,1.0
341,3,2,1,2,1.0
342,9,6,3,8,0.444444
343,4,3,1,3,1.0
344,9,6,3,8,0.444444
345,5,4,1,4,1.0
346,2,1,1,1,1.0
347,7,5,2,6,0.6
348,8,6,2,7,0.583333
349,3,2,1,2,1.0
350,4,3,1,3,1.0
351,25,19,6,24,0.210526
352,7,5,2,6,0.6
353,16,12,4,15,0.3125
354,17,12,5,16,0.266667
355,14,10,4,13,0.325
356,3,2,1,2,1.0
357,3,2,1,2,1.0
358,4,3,1,3,1.0
359,4,2,2,3,0.75
360,2,1,1,1,1.0
361,7,6,1,6,1.0
362,4,2,2,3,0.75
363,18,14,4,17,0.303571
364,4,3,1,3,1.0
365,12,9,3,11,0.407407
366,17,12,5,16,0.266667
367,3,2,1,2,1.0
368,11,7,4,10,0.357143
369,5,4,1,4,1.0
370,36,28,8,35,0.15625
371,4,3,1,3,1.0
372,11,8,3,10,0.416667
373,25,18,7,24,0.190476
374,12,8,4,11,0.34375
375,6,5,1,5,1.0
376,5,4,1,4,1.0
377,4,3,1,3,1.0
378,6,4,2,5,0.625
379,4,3,1,3,1.0
380,16,13,3,15,0.384615
381,4,3,1,3,1.0
382,5,4,1,4,1.0
383,13,10,3,12,0.4
384,4,3,1,3,1.0
385,4,3,1,3,1.0
386,3,2,1,2,1.0
387,10,7,3,9,0.428571
388,3,2,1,2,1.0
389,4,3,1,3,1.0
390,2,1,1,1,1.0
391,11,8,3,10,0.416667
392,6,4,2,5,0.625
393,18,13,5,17,0.261538
394,2,1,1,1,1.0
395,10,7,3,9,0.428571
396,5,4,1,4,1.0
397,4,3,1,3,1.0
398,5,4,1,4,1.0
399,2,1,1,1,1.0
400,5,4,1,4,1.0
401,6,4,2,5,0.625
402,3,2,1,2,1.0
403,13,9,4,12,0.333333
404,23,17,6,22,0.215686
405,5,4,1,4,1.0
406,3,2,1,2,1.0
407,2,1,1,1,1.0
408,3,2,1,2,1.0
409,3,2,1,2,1.0
410,9,7,2,8,0.571429
411,4,3,1,3,1.0
412,16,12,4,15,0.3125
413,3,2,1,2,1.0
414,11,8,3,10,0.416667
415,10,7,3,9,0.428571
416,4,3,1,3,1.0
417,9,7,2,8,0.571429
418,17,12,5,16,0.266667
419,5,3,2,4,0.666667
420,5,3,2,4,0.666667
421,4,3,1,3,1.0
422,23,17,6,22,0.215686
423,11,8,3,10,0.416667
424,11,8,3,10,0.416667
425,3,2,1,2,1.0
426,4,3,1,3,1.0
427,5,4,1,4,1.0
428,2,1,1,1,1.0
429,3,2,1,2,1.0
430,27,21,6,26,0.206349
431,12,10,2,11,0.55
432,2,1,1,1,1.0
433,20,15,5,19,0.253333
434,13,10,3,12,0.4
435,12,9,3,11,0.407407
436,4,3,1,3,1.0
437,4,3,1,3,1.0
438,8,5,3,7,0.466667
439,3,2,1,2,1.0
440,5,4,1,4,1.0
441,2,1,1,1,1.0
442,22,16,6,21,0.21875
443,6,5,1,5,1.0
444,5,4,1,4,1.0
445,32,23,9,31,0.149758
446,5,4,1,4,1.0
447,3,2,1,2,1.0
448,6,5,1,5,1.0
449,4,3,1,3,1.0
450,2,1,1,1,1.0
451,2,1,1,1,1.0
452,3,2,1,2,1.0
453,3,2,1,2,1.0
454,3,2,1,2,1.0
455,3,2,1,2,1.0
456,5,4,1,4,1.0
457,15,9,6,14,0.259259
458,3,2,1,2,1.0
459,3,2,1,2,1.0
460,2,1,1,1,1.0
461,17,13,4,16,0.307692
462,5,4,1,4,1.0
463,6,5,1,5,1.0
464,3,2,1,2,1.0
465,4,3,1,3,1.0
466,2,1,1,1,1.0
467,4,3,1,3,1.0
468,2,1,1,1,1.0
469,3,2,1,2,1.0
470,27,21,6,26,0.206349
471,4,3,1,3,1.0
472,6,4,2,5,0.625
473,4,3,1,3,1.0
474,4,3,1,3,1.0
475,12,9,3,11,0.407407
476,2,1,1,1,1.0
477,9,7,2,8,0.571429
478,7,6,1,6,1.0
479,18,14,4,17,0.303571
480,6,4,2,5,0.625
481,5,3,2,4,0.666667
482,3,2,1,2,1.0
483,4,3,1,3,1.0
484,4,3,1,3,1.0
485,17,13,4,16,0.307692
486,5,4,1,4,1.0
487,5,3,2,4,0.666667
488,12,9,3,11,0.407407
489,4,3,1,3,1.0
490,7,6,1,6,1.0
491,7,5,2,6,0.6
492,9,7,2,8,0.571429
493,6,5,1,5,1.0
494,3,2,1,2,1.0
495,4,3,1,3,1.0
496,6,4,2,5,0.625
497,3,2,1,2,1.0
498,2,1,1,1,1.0
499,30,21,9,29,0.153439
500,10,6,4,9,0.375
501,4,3,1,3,1.0
502,7,6,1,6,1.0
503,9,7,2,8,0.571429
504,9,7,2,8,0.571429
505,14,9,5,13,0.288889
506,4,3,1,3,1.0
507,6,5,1,5,1.0
508,2,1,1,1,1.0
509,9,7,2,8,0.571429
510,5,4,1,4,1.0
511,18,14,4,17,0.303571
512,3,2,1,2,1.0
513,3,2,1,2,1.0
514,8,7,1,7,1.0
515,2,1,1,1,1.0
516,2,1,1,1,1.0
517,6,5,1,5,1.0
518,4,3,1,3,1.0
519,2,1,1,1,1.0
520,5,3,2,4,0.666667
521,4,3,1,3,1.0
522,4,3,1,3,1.0
523,2,1,1,1,1.0
524,2,1,1,1,1.0
525,4,3,1,3,1.0
526,4,3,1,3,1.0
527,4,3,1,3,1.0
528,11,8,3,10,0.416667
529,6,5,1,5,1.0
530,5,4,1,4,1.0
531,3,2,1,2,1.0
532,3,2,1,2,1.0
533,8,5,3,7,0.466667
534,4,3,1,3,1.0
535,7,5,2,6,0.6
536,12,9,3,11,0.407407
537,6,5,1,5,1.0
538,9,7,2,8,0.571429
539,3,2,1,2,1.0
540,4,3,1,3,1.0
541,3,2,1,2,1.0
542,6,5,1,5,1.0
543,3,2,1,2,1.0
544,3,2,1,2,1.0
545,6,4,2,5,0.625
546,5,3,2,4,0.666667
547,2,1,1,1,1.0
548,3,2,1,2,1.0
549,2,1,1,1,1.0
550,4,3,1,3,1.0
551,8,7,1,7,1.0
552,6,4,2,5,0.625
553,7,5,2,6,0.6
554,4,3,1,3,1.0
555,11,8,3,10,0.416667
556,3,2,1,2,1.0
557,6,4,2,5,0.625
558,6,5,1,5,1.0
559,10,8,2,9,0.5625
560,14,10,4,13,0.325
561,2,1,1,1,1.0
562,4,3,1,3,1.0
563,9,6,3,8,0.444444
564,3,2,1,2,1.0
565,5,3,2,4,0.666667
566,2,1,1,1,1.0
567,36,28,8,35,0.15625
568,5,4,1,4,1.0
569,3,2,1,2,1.0
570,4,3,1,3,1.0
571,3,2,1,2,1.0
572,4,3,1,3,1.0
573,10,8,2,9,0.5625
574,4,3,1,3,1.0
575,5,4,1,4,1.0
576,22,16,6,21,0.21875
577,4,3,1,3,1.0
578,3,2,1,2,1.0
579,2,1,1,1,1.0
580,11,7,4,10,0.357143
581,7,5,2,6,0.6
582,3,2,1,2,1.0
583,7,5,2,6,0.6
584,3,2,1,2,1.0
585,4,3,1,3,1.0
586,4,3,1,3,1.0
587,7,5,2,6,0.6
588,11,8,3,10,0.416667
589,3,2,1,2,1.0
590,9,7,2,8,0.571429
591,6,4,2,5,0.625
592,9,6,3,8,0.444444
593,4,3,1,3,1.0
594,3,2,1,2,1.0
595,3,2,1,2,1.0
596,2,1,1,1,1.0
597,12,9,3,11,0.407407
598,12,9,3,11,0.407407
599,6,4,2,5,0.625
600,6,4,2,5,0.625
601,3,2,1,2,1.0
602,4,3,1,3,1.0
603,5,4,1,4,1.0
604,5,4,1,4,1.0
605,4,3,1,3,1.0
606,12,10,2,11,0.55
607,11,9,2,10,0.555556
608,17,14,3,16,0.380952
609,5,4,1,4,1.0
610,6,4,2,5,0.625
611,2,1,1,1,1.0
612,5,4,1,4,1.0
613,8,5,3,7,0.466667
614,12,9,3,11,0.407407
615,7,5,2,6,0.6
616,3,2,1,2,1.0
617,3,2,1,2,1.0
618,8,6,2,7,0.583333
619,8,6,2,7,0.583333
620,3,2,1,2,1.0
621,3,2,1,2,1.0
622,6,5,1,5,1.0
623,4,3,1,3,1.0
624,4,3,1,3,1.0
625,4,3,1,3,1.0
626,3,2,1,2,1.0
627,2,1,1,1,1.0
628,5,4,1,4,1.0
629,9,6,3,8,0.444444
630,39,29,10,38,0.131034
631,3,2,1,2,1.0
632,4,3,1,3,1.0
633,2,1,1,1,1.0
634,5,4,1,4,1.0
635,4,3,1,3,1.0
636,7,6,1,6,1.0
637,7,5,2,6,0.6
638,3,2,1,2,1.0
639,4,3,1,3,1.0
640,3,2,1,2,1.0
641,2,1,1,1,1.0
642,3,2,1,2,1.0
643,3,2,1,2,1.0
644,2,1,1,1,1.0
645,5,4,1,4,1.0
646,3,2,1,2,1.0
647,2,1,1,1,1.0
648,11,9,2,10,0.555556
649,2,1,1,1,1.0
650,5,4,1,4,1.0
651,6,4,2,5,0.625
652,9,7,2,8,0.571429
653,3,2,1,2,1.0
654,3,2,1,2,1.0
655,4,3,1,3,1.0
656,8,7,1,7,1.0
657,3,2,1,2,1.0
658,4,3,1,3,1.0
659,2,1,1,1,1.0
660,8,7,1,7,1.0
661,3,2,1,2,1.0
662,4,3,1,3,1.0
663,6,4,2,5,0.625
664,5,4,1,4,1.0
665,2,1,1,1,1.0
666,3,2,1,2,1.0
667,8,5,3,7,0.466667
668,6,5,1,5,1.0
669,6,4,2,5,0.625
670,6,4,2,5,0.625
671,8,5,3,7,0.466667
672,6,4,2,5,0.625
673,2,1,1,1,1.0
674,2,1,1,1,1.0
675,5,4,1,4,1.0
676,2,1,1,1,1.0
677,6,4,2,5,0.625
678,2,1,1,1,1.0
679,4,3,1,3,1.0
680,3,2,1,2,1.0
681,9,7,2,8,0.571429
682,4,3,1,3,1.0
683,5,4,1,4,1.0
684,14,8,6,13,0.270833
685,18,13,5,17,0.261538
686,4,3,1,3,1.0
687,3,2,1,2,1.0
688,2,1,1,1,1.0
689,3,2,1,2,1.0
690,2,1,1,1,1.0
691,4,3,1,3,1.0
692,10,8,2,9,0.5625
693,2,1,1,1,1.0
694,2,1,1,1,1.0
695,2,1,1,1,1.0
696,4,3,1,3,1.0
697,2,1,1,1,1.0
698,16,12,4,15,0.3125
699,5,4,1,4,1.0
700,4,3,1,3,1.0
701,4,3,1,3,1.0
702,9,7,2,8,0.571429
703,3,2,1,2,1.0
704,3,2,1,2,1.0
705,3,2,1,2,1.0
706,10,8,2,9,0.5625
707,4,3,1,3,1.0
708,4,3,1,3,1.0
709,2,1,1,1,1.0
710,4,3,1,3,1.0
711,10,7,3,9,0.428571
712,5,4,1,4,1.0
713,12,10,2,11,0.55
714,11,8,3,10,0.416667
715,5,3,2,4,0.666667
716,11,9,2,10,0.555556
717,6,4,2,5,0.625
718,6,5,1,5,1.0
719,37,27,10,36,0.133333
720,33,24,9,32,0.148148
721,14,11,3,13,0.393939
722,3,2,1,2,1.0
723,10,8,2,9,0.5625
724,5,4,1,4,1.0
725,12,9,3,11,0.407407
726,4,3,1,3,1.0
727,3,2,1,2,1.0
728,2,1,1,1,1.0
729,4,3,1,3,1.0
730,3,2,1,2,1.0
731,65,45,20,64,0.071111
732,5,4,1,4,1.0
733,16,13,3,15,0.384615
734,8,6,2,7,0.583333
735,3,2,1,2,1.0
736,11,8,3,10,0.416667
737,2,1,1,1,1.0
738,4,3,1,3,1.0
739,3,2,1,2,1.0
740,4,3,1,3,1.0
741,6,4,2,5,0.625
742,7,5,2,6,0.6
743,5,4,1,4,1.0
744,6,4,2,5,0.625
745,5,4,1,4,1.0
746,3,2,1,2,1.0
747,5,4,1,4,1.0
748,5,3,2,4,0.666667
749,11,8,3,10,0.416667
750,7,6,1,6,1.0
751,38,26,12,37,0.11859
752,9,7,2,8,0.571429
753,2,1,1,1,1.0
754,5,4,1,4,1.0
755,2,1,1,1,1.0
756,6,5,1,5,1.0
757,8,7,1,7,1.0
758,4,3,1,3,1.0
759,10,7,3,9,0.428571
760,4,3,1,3,1.0
761,6,5,1,5,1.0
762,3,2,1,2,1.0
763,14,10,4,13,0.325
764,6,5,1,5,1.0
765,6,4,2,5,0.625
766,4,3,1,3,1.0
767,2,1,1,1,1.0
768,2,1,1,1,1.0
769,11,8,3,10,0.416667
770,6,4,2,5,0.625
771,3,2,1,2,1.0
772,3,2,1,2,1.0
773,3,2,1,2,1.0
774,35,27,8,34,0.157407
775,4,3,1,3,1.0
776,5,4,1,4,1.0
777,12,8,4,11,0.34375
778,2,1,1,1,1.0
779,5,4,1,4,1.0
780,3,2,1,2,1.0
781,3,2,1,2,1.0
782,3,2,1,2,1.0
783,11,8,3,10,0.416667
784,3,2,1,2,1.0
785,5,4,1,4,1.0
786,6,5,1,5,1.0
787,4,3,1,3,1.0
788,13,9,4,12,0.333333
789,15,12,3,14,0.388889
790,9,7,2,8,0.571429
791,5,4,1,4,1.0
792,5,3,2,4,0.666667
793,5,4,1,4,1.0
794,8,5,3,7,0.466667
795,6,4,2,5,0.625
796,3,2,1,2,1.0
797,4,3,1,3,1.0
798,2,1,1,1,1.0
799,4,3,1,3,1.0
800,6,5,1,5,1.0
801,3,2,1,2,1.0
802,15,11,4,14,0.318182
803,4,3,1,3,1.0
804,4,3,1,3,1.0
805,9,8,1,8,1.0
806,21,15,6,20,0.222222
807,5,4,1,4,1.0
808,4,3,1,3,1.0
809,4,3,1,3,1.0
810,3,2,1,2,1.0
811,3,2,1,2,1.0
812,3,2,1,2,1.0
813,2,1,1,1,1.0
814,4,3,1,3,1.0
815,7,5,2,6,0.6
816,3,2,1,2,1.0
817,3,2,1,2,1.0
818,11,6,5,10,0.333333
819,4,3,1,3,1.0
820,8,5,3,7,0.466667
821,5,4,1,4,1.0
822,8,6,2,7,0.583333
823,3,2,1,2,1.0
824,8,6,2,7,0.583333
825,3,2,1,2,1.0
826,4,3,1,3,1.0
827,22,15,7,21,0.2
828,3,2,1,2,1.0
829,8,5,3,7,0.466667
830,3,2,1,2,1.0
831,4,3,1,3,1.0
832,9,8,1,8,1.0
833,4,3,1,3,1.0
834,4,3,1,3,1.0
835,5,4,1,4,1.0
836,5,4,1,4,1.0
837,10,8,2,9,0.5625
838,16,11,5,15,0.272727
839,2,1,1,1,1.0
840,5,4,1,4,1.0
841,4,3,1,3,1.0
842,3,2,1,2,1.0
843,15,11,4,14,0.318182
844,6,4,2,5,0.625
845,3,2,1,2,1.0
846,3,2,1,2,1.0
847,5,4,1,4,1.0
848,4,3,1,3,1.0
849,3,2,1,2,1.0
850,4,3,1,3,1.0
851,6,5,1,5,1.0
852,7,6,1,6,1.0
853,3,2,1,2,1.0
854,3,2,1,2,1.0
855,3,2,1,2,1.0
856,5,3,2,4,0.666667
857,10,8,2,9,0.5625
858,4,3,1,3,1.0
859,3,2,1,2,1.0
860,4,3,1,3,1.0
861,7,5,2,6,0.6
862,10,7,3,9,0.428571
863,3,2,1,2,1.0
864,13,11,2,12,0.545455
865,20,15,5,19,0.253333
866,5,4,1,4,1.0
867,3,2,1,2,1.0
868,8,6,2,7,0.583333
869,3,2,1,2,1.0
870,14,11,3,13,0.393939
871,5,3,2,4,0.666667
872,8,6,2,7,0.583333
873,6,4,2,5,0.625
874,3,2,1,2,1.0
875,18,12,6,17,0.236111
876,2,1,1,1,1.0
877,3,2,1,2,1.0
878,4,3,1,3,1.0
879,4,3,1,3,1.0
880,15,10,5,14,0.28
881,3,2,1,2,1.0
882,4,3,1,3,1.0
883,5,3,2,4,0.666667
884,8,6,2,7,0.583333
885,9,7,2,8,0.571429
886,2,1,1,1,1.0
887,3,2,1,2,1.0
888,6,4,2,5,0.625
889,18,13,5,17,0.261538
890,6,4,2,5,0.625
891,10,7,3,9,0.428571
892,4,3,1,3,1.0
893,4,3,1,3,1.0
894,4,3,1,3,1.0
895,4,3,1,3,1.0
896,4,3,1,3,1.0
897,2,1,1,1,1.0
898,4,3,1,3,1.0
899,3,2,1,2,1.0
900,6,5,1,5,1.0
901,4,2,2,3,0.75
902,5,4,1,4,1.0
903,6,4,2,5,0.625
904,3,2,1,2,1.0
905,3,2,1,2,1.0
906,3,2,1,2,1.0
907,3,2,1,2,1.0
908,13,9,4,12,0.333333
909,2,1,1,1,1.0
910,5,4,1,4,1.0
911,4,3,1,3,1.0
912,3,2,1,2,1.0
913,4,3,1,3,1.0
914,5,3,2,4,0.666667
915,3,2,1,2,1.0
916,4,3,1,3,1.0
917,3,2,1,2,1.0
918,34,25,9,33,0.146667
919,10,6,4,9,0.375
920,4,3,1,3,1.0
921,3,2,1,2,1.0
922,2,1,1,1,1.0
923,4,3,1,3,1.0
924,7,5,2,6,0.6
925,10,8,2,9,0.5625
926,4,3,1,3,1.0
927,3,2,1,2,1.0
928,3,2,1,2,1.0
929,4,3,1,3,1.0
930,2,1,1,1,1.0
931,2,1,1,1,1.0
932,18,14,4,17,0.303571
933,4,3,1,3,1.0
934,3,2,1,2,1.0
935,6,4,2,5,0.625
936,5,4,1,4,1.0
937,2,1,1,1,1.0
938,3,2,1,2,1.0
939,12,9,3,11,0.407407
940,6,4,2,5,0.625
941,4,3,1,3,1.0
942,2,1,1,1,1.0
943,6,4,2,5,0.625
944,17,13,4,16,0.307692
945,25,19,6,24,0.210526
946,5,4,1,4,1.0
947,3,2,1,2,1.0
948,2,1,1,1,1.0
949,5,4,1,4,1.0
950,13,10,3,12,0.4
951,3,2,1,2,1.0
952,6,4,2,5,0.625
953,4,3,1,3,1.0
954,20,15,5,19,0.253333
955,6,4,2,5,0.625
956,2,1,1,1,1.0
957,3,2,1,2,1.0
958,6,5,1,5,1.0
959,12,10,2,11,0.55
960,6,4,2,5,0.625
961,11,8,3,10,0.416667
962,5,3,2,4,0.666667
963,4,3,1,3,1.0
964,3,2,1,2,1.0
965,6,4,2,5,0.625
966,22,15,7,21,0.2
967,9,6,3,8,0.444444
968,3,2,1,2,1.0
969,5,4,1,4,1.0
970,6,5,1,5,1.0
971,4,3,1,3,1.0
972,5,4,1,4,1.0
973,8,6,2,7,0.583333
974,5,4,1,4,1.0
975,4,2,2,3,0.75
976,8,6,2,7,0.583333
977,3,2,1,2,1.0
