priority_rank,entity_type,entity_id,risk_score,risk_band,reasons
39,USER,USR19891,52.08,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
40,USER,USR12757,52.05,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
41,USER,USR22955,52.02,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
42,USER,USR15161,52.01,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
43,USER,USR48382,52.0,HIGH,SUSPICIOUS_NETWORK_COMPONENT
44,USER,USR63855,51.98,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
45,USER,USR46267,51.97,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
46,USER,USR11449,51.94,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
47,USER,USR62342,51.94,HIGH,SUSPICIOUS_NETWORK_COMPONENT
48,USER,USR28258,51.9,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
49,USER,USR56807,51.9,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
50,USER,USR53983,51.9,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
51,USER,USR83227,51.9,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
52,USER,USR92837,51.89,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
53,USER,USR88575,51.88,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
54,USER,USR13172,51.85,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
55,USER,USR30719,51.85,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
56,USER,USR59241,51.84,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
57,USER,USR24980,51.84,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
58,USER,USR56974,51.84,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
59,USER,USR77780,51.84,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
60,USER,USR73213,51.84,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
61,USER,USR52174,51.83,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
62,USER,USR53813,51.82,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
63,USER,USR52158,51.81,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
64,USER,USR83268,51.79,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
65,USER,USR78921,51.78,HIGH,HIGH_BEHAVIORAL_RISK
66,USER,USR64664,51.78,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
67,USER,USR57433,51.77,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
68,USER,USR49592,51.77,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
69,USER,USR21123,51.77,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
70,USER,USR48879,51.75,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
71,USER,USR28180,51.74,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
72,USER,USR13364,51.74,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
73,USER,USR72086,51.73,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
74,USER,USR23317,51.73,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
75,USER,USR41615,51.73,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
76,USER,USR77199,51.73,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
77,USER,USR64624,51.72,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
78,USER,USR62863,51.72,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
79,USER,USR49986,51.71,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
80,USER,USR97887,51.71,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
81,USER,USR88733,51.71,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
82,USER,USR65137,51.71,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
83,USER,USR74619,51.7,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
84,USER,USR91913,51.7,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
85,USER,USR27111,51.7,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
86,USER,USR28939,51.7,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
87,USER,USR40726,51.68,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
88,USER,USR71162,51.67,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
89,USER,USR64484,51.67,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
90,USER,USR29956,51.66,HIGH,SUSPICIOUS_NETWORK_COMPONENT
91,USER,USR84738,51.66,HIGH,SUSPICIOUS_NETWORK_COMPONENT
92,USER,USR46903,51.66,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
93,USER,USR26183,51.65,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
94,USER,USR21980,51.64,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
95,USER,USR26217,51.64,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
96,USER,USR49065,51.62,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
97,USER,USR78423,51.62,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
98,USER,USR42221,51.61,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
99,USER,USR31115,51.61,HIGH,SUSPICIOUS_NETWORK_COMPONENT
100,USER,USR64778,51.6,HIGH,SUSPICIOUS_NETWORK_COMPONENT
101,USER,USR97539,51.6,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
102,USER,USR87817,51.59,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
103,USER,USR61378,51.59,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
104,USER,USR76326,51.58,HIGH,SUSPICIOUS_NETWORK_COMPONENT
105,USER,USR95831,51.58,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
106,USER,USR45703,51.57,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
107,USER,USR25046,51.57,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
108,USER,USR21011,51.57,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
109,USER,USR69175,51.56,HIGH,SUSPICIOUS_NETWORK_COMPONENT
110,USER,USR75997,51.56,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
111,USER,USR64356,51.56,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
112,USER,USR57901,51.55,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
113,USER,USR55123,51.55,HIGH,SUSPICIOUS_NETWORK_COMPONENT
114,USER,USR40493,51.54,HIGH,SUSPICIOUS_NETWORK_COMPONENT
115,USER,USR54625,51.54,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
116,USER,USR20874,51.53,HIGH,SUSPICIOUS_NETWORK_COMPONENT
117,USER,USR62645,51.53,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
118,USER,USR56391,51.53,HIGH,SUSPICIOUS_NETWORK_COMPONENT
119,USER,USR10190,51.52,HIGH,SUSPICIOUS_NETWORK_COMPONENT
120,USER,USR76968,51.52,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
121,USER,USR36710,51.52,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
122,USER,USR46639,51.52,HIGH,SUSPICIOUS_NETWORK_COMPONENT
123,USER,USR47092,51.52,HIGH,SUSPICIOUS_NETWORK_COMPONENT
124,USER,USR95507,51.52,HIGH,SUSPICIOUS_NETWORK_COMPONENT
125,USER,USR69023,51.51,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
126,USER,USR26223,51.51,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
127,USER,USR23071,51.5,HIGH,SUSPICIOUS_NETWORK_COMPONENT
128,USER,USR66868,51.5,HIGH,SUSPICIOUS_NETWORK_COMPONENT
129,USER,USR43962,51.5,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
130,USER,USR13995,51.49,HIGH,SUSPICIOUS_NETWORK_COMPONENT
131,USER,USR49452,51.48,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
132,USER,USR49596,51.47,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
133,USER,USR38358,51.47,HIGH,SUSPICIOUS_NETWORK_COMPONENT
134,USER,USR26337,51.47,HIGH,HIGH_BEHAVIORAL_RISK
135,USER,USR92078,51.45,HIGH,SUSPICIOUS_NETWORK_COMPONENT
136,USER,USR38880,51.45,HIGH,SUSPICIOUS_NETWORK_COMPONENT
137,USER,USR42647,51.44,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
138,USER,USR25507,51.43,HIGH,SUSPICIOUS_NETWORK_COMPONENT
139,USER,USR22700,51.43,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
140,USER,USR85927,51.43,HIGH,SUSPICIOUS_NETWORK_COMPONENT
141,USER,USR29301,51.42,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
142,USER,USR42368,51.42,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
143,USER,USR25725,51.42,HIGH,SUSPICIOUS_NETWORK_COMPONENT
144,USER,USR22518,51.42,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
145,USER,USR72092,51.42,HIGH,SUSPICIOUS_NETWORK_COMPONENT
146,USER,USR18513,51.41,HIGH,SUSPICIOUS_NETWORK_COMPONENT
147,USER,USR32235,51.41,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
148,USER,USR13407,51.4,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
149,USER,USR87526,51.4,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
150,USER,USR10074,51.4,HIGH,SUSPICIOUS_NETWORK_COMPONENT
151,USER,USR76468,51.39,HIGH,SUSPICIOUS_NETWORK_COMPONENT
152,USER,USR12526,51.39,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
153,USER,USR41230,51.39,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
154,USER,USR41380,51.38,HIGH,SUSPICIOUS_NETWORK_COMPONENT
155,USER,USR35337,51.38,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
156,USER,USR77543,51.38,HIGH,SUSPICIOUS_NETWORK_COMPONENT
157,USER,USR16436,51.38,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
158,USER,USR97036,51.36,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
159,USER,USR59411,51.36,HIGH,SUSPICIOUS_NETWORK_COMPONENT
160,USER,USR62990,51.36,HIGH,SUSPICIOUS_NETWORK_COMPONENT
161,USER,USR76062,51.36,HIGH,SUSPICIOUS_NETWORK_COMPONENT
162,USER,USR88765,51.36,HIGH,SUSPICIOUS_NETWORK_COMPONENT
163,USER,USR58350,51.35,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
164,USER,USR64044,51.35,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
165,USER,USR49988,51.35,HIGH,SUSPICIOUS_NETWORK_COMPONENT
166,USER,USR44326,51.35,HIGH,SUSPICIOUS_NETWORK_COMPONENT
167,USER,USR64598,51.35,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
168,USER,USR22209,51.32,HIGH,SUSPICIOUS_NETWORK_COMPONENT
169,USER,USR15356,51.32,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
170,USER,USR17626,51.32,HIGH,SUSPICIOUS_NETWORK_COMPONENT
171,USER,USR47679,51.32,HIGH,SUSPICIOUS_NETWORK_COMPONENT
172,USER,USR50601,51.32,HIGH,SUSPICIOUS_NETWORK_COMPONENT
173,USER,USR21023,51.31,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
174,USER,USR26071,51.31,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
175,USER,USR16562,51.3,HIGH,SUSPICIOUS_NETWORK_COMPONENT
176,USER,USR86386,51.3,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
177,USER,USR14424,51.29,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
178,USER,USR49093,51.29,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
179,USER,USR28601,51.29,HIGH,SUSPICIOUS_NETWORK_COMPONENT
180,USER,USR27965,51.29,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
181,USER,USR12788,51.28,HIGH,SUSPICIOUS_NETWORK_COMPONENT
182,USER,USR90801,51.28,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
183,USER,USR57502,51.28,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
184,USER,USR66862,51.28,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
185,USER,USR64264,51.28,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
186,USER,USR66261,51.26,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
187,USER,USR11082,51.26,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
188,USER,USR55686,51.25,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
189,USER,USR39162,51.25,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
190,USER,USR85887,51.25,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
191,USER,USR59170,51.25,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
192,USER,USR76597,51.24,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
193,USER,USR93489,51.24,HIGH,SUSPICIOUS_NETWORK_COMPONENT
194,USER,USR82277,51.23,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
195,USER,USR13670,51.22,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
196,USER,USR12021,51.22,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
197,USER,USR68944,51.2,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
198,USER,USR60922,51.18,HIGH,SUSPICIOUS_NETWORK_COMPONENT
199,USER,USR40359,51.18,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
200,USER,USR37969,51.17,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
201,USER,USR53172,51.16,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
202,USER,USR39864,51.16,HIGH,SUSPICIOUS_NETWORK_COMPONENT
203,USER,USR78718,51.14,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
204,USER,USR82867,51.14,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
205,USER,USR91931,51.14,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
206,USER,USR40161,51.13,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
207,USER,USR48365,51.13,HIGH,SUSPICIOUS_NETWORK_COMPONENT
208,USER,USR17266,51.13,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
209,USER,USR30242,51.13,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
210,USER,USR49366,51.13,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
211,USER,USR93128,51.12,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
212,USER,USR35725,51.1,HIGH,SUSPICIOUS_NETWORK_COMPONENT
213,USER,USR94832,51.1,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
214,USER,USR16683,51.1,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
215,USER,USR89731,51.09,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
216,USER,USR18768,51.09,HIGH,SUSPICIOUS_NETWORK_COMPONENT
217,USER,USR12553,51.07,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
