merchant_id,txn_count,total_transaction_value,avg_transaction_value,unique_users,unique_mcc,failed_txn_count,pending_txn_count,negative_amount_count,failure_rate,pending_rate,negative_amount_rate,chargeback_count,chargeback_amount,critical_chargeback_count,high_chargeback_count,chargeback_rate,merchant_name,merchant_category,business_type,merchant_city,merchant_state,merchant_status,declared_avg_ticket_size,master_mcc,merchant_match_flag,suspended_flag,blocked_flag,ticket_deviation,ticket_deviation_abs,txn_count_percentile,user_count_percentile,transaction_value_percentile,high_failure_flag,high_pending_flag,negative_transaction_flag,high_chargeback_flag,critical_chargeback_flag,inactive_flag,ticket_deviation_risk,user_to_txn_ratio,high_user_concentration_flag,merchant_risk_score,risk_band,ml_anomaly_prediction,ml_decision_score,ml_anomaly_percentile,ml_anomaly_flag,ml_anomaly_band,network_user_count,network_transaction_count,network_total_amount,network_chargeback_count,avg_relationship_risk,max_relationship_risk,network_chargeback_rate,degree,component_id,network_activity_score,suspicious_component_flag,unified_merchant_risk_score,unified_merchant_risk_band,investigation_reasons
MCH1012,2,3624.3809381,1812.19046905,2,1,1,0,0,0.5,0.0,0.0,1.0,1547.17,0.0,0.0,0.5,,,,,,,0.0,,0,0,0,0.0,0.0,0.4191404794435474,0.4191404794435474,0.0798658551732704,1,0,0,1,0,0,0.0,1.0,0,25.0,LOW,1,0.083809,12.28,0,LOW,2,2,3624.3809381,1,43.105000000000004,68.61,0.5,2,4303,47.36,1,30.25,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1013,1,0.474213,0.474213,1,0,0,0,0,0.0,0.0,0.0,1.0,6937.41,0.0,1.0,1.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.0192522667991553,0,0,0,1,0,0,0.0,1.0,0,25.76,MEDIUM,1,0.157555,24.32,0,LOW,1,1,0.474213,0,18.19,18.19,0.0,1,5134,20.12,0,22.86,LOW,NO_MAJOR_SIGNAL
MCH1014,1,17338.71,17338.71,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Agate, Saxena and Pandit",Department Store,partnership,Jalandar,Punjab,ACTIVE,1096.96,5311.0,1,0,0,14.806146076429403,14.806146076429403,0.133461681778661,0.133461681778661,0.3496460067072413,0,1,0,0,0,0,6.913660082205827e-05,1.0,0,12.42,LOW,1,0.055563,6.68,0,LOW,1,1,17338.71,0,30.45,30.45,0.0,1,5236,45.95,0,15.81,LOW,NO_MAJOR_SIGNAL
MCH1015,6,45381.28,7563.546666666666,6,4,0,0,1,0.0,0.0,0.1666666666666666,1.0,856.42,0.0,0.0,0.1666666666666666,Mannan-Subramaniam,Hotels,INDIVIDUAL,Hyd,Telangana,ACTIVE,-1116.83,7011.0,1,0,0,0.0,0.0,0.9825487517078624,0.9825487517078624,0.8379083343684014,0,0,1,1,0,0,0.0,1.0,1,14.94,LOW,1,0.05935,7.15,0,LOW,6,6,55328.88,1,27.146666666666665,53.08,0.16666666666666666,6,431,98.17,1,27.18,MEDIUM,MANY_CONNECTED_USERS|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1016,2,1.0517406,0.5258703,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mangat, Som and Deshmukh",BOOKS_STATIONERY,INDIVIDUAL,pune,Maharashtra,SUSPENDED,756.28,5942.0,1,1,0,-0.99930466189771,0.99930466189771,0.4191404794435474,0.4191404794435474,0.0255868836169419,0,0,0,0,0,0,4.666205989905039e-06,1.0,0,12.22,LOW,1,0.264173,64.71,0,LOW,2,2,1.0517406,0,15.105,16.65,0.0,2,3311,42.46,0,25.42,MEDIUM,NO_MAJOR_SIGNAL
MCH1017,1,18198.36,18198.36,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.36927089802509,0,0,0,0,0,0,0.0,1.0,0,2.51,LOW,1,0.266563,68.32,0,LOW,1,1,18198.36,1,52.34,52.34,1.0,1,508,47.35,1,30.01,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1019,3,26714.651616,8904.883872,3,3,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iyer-Thaker,Clothing,Partnership,Kolkata,West Bengal,ACTIVE,0.0,5699.0,1,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.582287914544777,1,0,0,0,0,0,0.0,1.0,0,13.0,LOW,1,0.215168,46.66,0,LOW,3,3,26714.651616000003,0,26.066666666666666,35.11,0.0,3,3067,86.73,1,32.76,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1020,2,9440.4447216,4720.2223608,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garg-Kale,transprt,sole_proprietor,ASR,Punjab,ACTIVE,1015.68,4131.0,1,0,0,3.647351883270321,3.647351883270321,0.4191404794435474,0.4191404794435474,0.1802260588746739,0,0,0,0,0,0,1.703113760390874e-05,1.0,0,3.0,LOW,1,0.268737,72.36,0,LOW,2,2,9440.444721599999,0,15.52,20.35,0.0,2,2255,55.44,1,28.22,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1021,3,61852.69,20617.56333333333,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Naik-Karpe,Grocery,sole_proprietor,mumbai,Maharashtra,ACTIVE,2341.57,5411.0,1,0,0,7.805016861906044,7.805016861906044,0.684076512234505,0.684076512234505,0.939883244317476,0,0,0,0,0,0,3.644515813943415e-05,1.0,0,8.12,LOW,1,0.270954,81.28,0,MEDIUM,3,3,61852.69,0,26.78,29.82,0.0,3,4923,93.9,1,37.79,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1022,2,14709.3806544,7354.6903272,2,2,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ramesh-Bhat,Other,PRIVATE-LIMITED,HYDERABAD,Telangana,ACTIVE,3026.17,,1,0,0,1.4303625794981776,1.4303625794981776,0.4191404794435474,0.4191404794435474,0.2903987082350018,1,0,0,0,0,0,6.679010606750893e-06,1.0,0,13.55,LOW,1,0.187533,35.83,0,LOW,2,2,14709.3806544,0,29.555,33.69,0.0,2,3755,63.34,0,23.91,LOW,NO_MAJOR_SIGNAL
MCH1023,3,30027.844833,10009.281611,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.6350763880263322,0,0,0,0,0,0,0.0,1.0,0,6.6,LOW,1,0.272134,87.38,0,MEDIUM,3,3,30027.844832999996,1,31.540000000000003,51.15,0.3333333333333333,3,4429,87.9,1,38.05,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1024,2,22788.01,11394.005,2,1,0,0,0,0.0,0.0,0.0,1.0,741.15,0.0,0.0,0.5,,,,,,,0.0,,0,0,0,0.0,0.0,0.4191404794435474,0.4191404794435474,0.4900012420817289,0,0,0,1,0,0,0.0,1.0,0,17.05,LOW,1,0.181829,33.1,0,LOW,2,2,22788.01,0,21.945,23.71,0.0,2,4408,76.35,0,25.83,MEDIUM,NO_MAJOR_SIGNAL
MCH1025,4,57906.43,14476.6075,4,3,1,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.8575332256862501,0.8575332256862501,0.9228667246304808,1,0,0,0,0,0,0.0,1.0,0,13.9,LOW,1,0.220099,48.89,0,LOW,4,4,57906.43,0,29.39,47.14,0.0,4,2525,96.44,1,35.01,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1026,4,45325.67,11331.4175,4,3,1,0,0,0.25,0.0,0.0,1.0,3784.33,0.0,0.0,0.25,,,,,,,0.0,,0,0,0,0.0,0.0,0.8575332256862501,0.8575332256862501,0.8374115016768103,1,0,0,1,0,0,0.0,1.0,0,19.72,LOW,1,0.13424,20.12,0,LOW,4,4,45325.67,0,28.6325,42.76,0.0,4,462,94.93,1,32.23,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1027,1,21815.44,21815.44,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.4624270276984225,0,1,0,0,0,0,0.0,1.0,0,12.98,LOW,1,0.071627,9.11,0,LOW,1,1,21815.44,0,30.61,30.61,0.0,1,3952,53.16,0,17.34,LOW,NO_MAJOR_SIGNAL
MCH1028,1,5284.29,5284.29,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.108433734939759,0,0,0,0,0,0,0.0,1.0,0,1.21,LOW,1,0.259891,60.08,0,LOW,1,1,5284.29,0,17.82,17.82,0.0,1,1396,28.1,0,17.27,LOW,NO_MAJOR_SIGNAL
MCH1029,1,1513.0,1513.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.0473233138740529,0,0,0,0,0,0,0.0,1.0,0,0.9,LOW,1,0.254562,55.96,0,LOW,1,1,1513.0,0,15.6,15.6,0.0,1,4105,22.93,0,15.54,LOW,NO_MAJOR_SIGNAL
MCH1030,3,4072.67,1357.5566666666666,3,2,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.087318345547137,1,0,0,0,0,0,0.0,1.0,0,10.52,LOW,1,0.20196,41.34,0,LOW,3,3,4072.6699999999996,0,23.066666666666663,35.17,0.0,3,4439,53.91,1,26.75,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1031,1,0.2179008,0.2179008,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.0120481927710843,0,0,0,0,0,0,0.0,1.0,0,0.73,LOW,1,0.247624,53.37,0,LOW,1,1,0.2179008,0,13.97,13.97,0.0,1,4089,19.23,0,14.4,LOW,NO_MAJOR_SIGNAL
MCH1032,3,44604.15,14868.05,3,3,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nori-Nigam,Hotels,SOLE_PROPRIETOR,pune,Maharashtra,ACTIVE,652.29,7011.0,1,0,0,21.793619402413043,21.793619402413043,0.684076512234505,0.684076512234505,0.8283443050552727,1,0,0,0,0,0,0.0001017642779771,1.0,0,14.23,LOW,1,0.199016,41.03,0,LOW,3,3,44604.15,0,30.423333333333336,36.52,0.0,3,1068,91.92,1,33.27,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1033,3,42284.92,14094.973333333332,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sidhu and Sons,phone service,individual,Jalandhar,Punjab,ACTIVE,1871.48,4814.0,1,0,0,6.531458168579591,6.531458168579591,0.684076512234505,0.684076512234505,0.8044963358588996,0,0,0,0,0,0,3.049833588403689e-05,1.0,0,7.44,LOW,1,0.272218,88.06,0,MEDIUM,3,3,42284.92,0,24.213333333333335,28.83,0.0,3,264,91.43,1,38.27,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1034,2,9679.1,4839.55,2,1,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEVI-CHAUDHARI,Hospitality,private_limited,DELHI,Delhi,ACTIVE,243.38,7011.0,1,0,0,18.884748130495524,18.884748130495524,0.4191404794435474,0.4191404794435474,0.1846975530989939,1,0,0,0,0,0,8.818144076004149e-05,1.0,0,13.02,LOW,1,0.172319,28.97,0,LOW,2,2,9679.1,0,28.0,39.01,0.0,2,193,55.76,1,26.33,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1035,3,39992.83,13330.943333333336,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minhas-Khatri,Restaurants,SOLE-PROPRIETOR,Mumbay,Maharashtra,ACTIVE,5777.68,8120.0,1,0,0,1.30731770076109,1.30731770076109,0.684076512234505,0.684076512234505,0.7780399950316731,0,0,0,0,0,0,6.104458348483826e-06,1.0,0,7.31,LOW,1,0.273028,95.72,0,HIGH,3,3,39992.83,0,23.099999999999998,27.8,0.0,3,518,90.91,1,39.57,MEDIUM,ML_ANOMALY|SUSPICIOUS_NETWORK_COMPONENT
MCH1036,3,33640.770000000004,11213.590000000002,3,3,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.6919637312135138,0,1,0,0,0,0,0.0,1.0,0,10.21,LOW,1,0.212965,45.15,0,LOW,3,3,33640.770000000004,1,33.38,51.97,0.3333333333333333,3,292,89.14,1,31.9,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1037,3,47725.25,15908.416666666666,3,1,0,0,0,0.0,0.0,0.0,1.0,671.14,0.0,0.0,0.3333333333333333,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.862625760775059,0,0,0,1,0,0,0.0,1.0,0,16.07,LOW,1,0.195679,40.58,0,LOW,3,3,47725.25,0,27.143333333333334,32.46,0.0,3,2873,92.56,1,33.92,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1038,3,52771.18,17590.393333333333,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.8977766737051298,0,0,0,0,0,0,0.0,1.0,0,7.91,LOW,1,0.272402,91.56,0,MEDIUM,3,3,52771.18,0,25.28333333333333,27.64,0.0,3,613,93.16,1,39.51,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1039,3,29255.44,9751.813333333334,3,2,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lal-Barad,TELECOM,SOLE_PROPRIETOR,LKO,Uttar Pradesh,ACTIVE,3062.03,4814.0,1,0,0,2.184754340530084,2.184754340530084,0.684076512234505,0.684076512234505,0.6211650726617811,1,0,0,0,0,0,1.0201607356552126e-05,1.0,0,13.19,LOW,1,0.211277,44.12,0,LOW,3,3,29255.440000000002,0,27.653333333333336,37.45,0.0,3,1973,87.63,1,32.61,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1040,1,4889.06,4889.06,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Krishnan and S0ns,kirana,sole_proprietor,Jalandar,Punjab,ACTIVE,1030.03,5411.0,1,0,0,3.74652194596274,3.74652194596274,0.133461681778661,0.133461681778661,0.1020991181219724,0,0,0,0,0,0,1.749420753463022e-05,1.0,0,1.18,LOW,1,0.255248,56.28,0,LOW,1,1,4889.06,0,14.47,14.47,0.0,1,5727,27.58,0,16.11,LOW,NO_MAJOR_SIGNAL
MCH1041,6,35096.200000000004,5849.366666666668,6,4,0,0,1,0.0,0.0,0.1666666666666666,1.0,0.3544,0.0,0.0,0.1666666666666666,Pat1a-S0m,Fashion,private_limited,kolkata,West Bengal,ACTIVE,3701.53,,1,0,0,0.5802564525119794,0.5802564525119794,0.9825487517078624,0.9825487517078624,0.7107191653210782,0,0,1,1,0,0,2.7094801391706108e-06,1.0,1,14.3,LOW,1,0.055109,6.65,0,LOW,6,6,41966.86,2,30.099999999999998,53.92,0.3333333333333333,6,91,96.17,1,26.82,MEDIUM,MANY_CONNECTED_USERS|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1042,3,26085.81,8695.27,3,2,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.5708607626381816,0,1,0,0,0,0,0.0,1.0,0,9.61,LOW,1,0.210655,43.85,0,LOW,3,3,26085.81,0,21.650000000000002,25.37,0.0,3,3813,86.47,1,29.87,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1043,5,79534.9,15906.98,5,4,0,0,0,0.0,0.0,0.0,1.0,1143.89,0.0,0.0,0.2,,,,,,,0.0,,0,0,0,0.0,0.0,0.9454105080114272,0.9454105080114272,0.9852192274251644,0,0,0,1,0,0,0.0,1.0,0,14.65,LOW,1,0.18565,35.34,0,LOW,5,5,79534.9,1,32.396,52.79,0.2,5,2676,98.89,1,33.25,MEDIUM,MANY_CONNECTED_USERS|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1044,3,34051.96,11350.653333333334,3,2,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,"Jha, Salvi and Setty",Retail,Partnership,HYDERABAD,Telangana,ACTIVE,1084.93,5311.0,1,0,0,9.462106618245723,9.462106618245723,0.684076512234505,0.684076512234505,0.6964352254378338,1,1,0,0,0,0,4.418286060562557e-05,1.0,0,23.57,LOW,1,0.01657,4.06,0,LOW,3,3,34051.96,0,38.166666666666664,50.11,0.0,3,2470,89.24,1,31.52,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1045,2,24683.96,12341.98,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.4191404794435474,0.4191404794435474,0.5424170910445907,0,0,0,0,0,0,0.0,1.0,0,4.81,LOW,1,0.272979,95.52,0,HIGH,2,2,24683.96,1,38.73,57.05,0.5,2,4226,79.51,1,38.57,MEDIUM,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1046,1,6901.43,6901.43,1,1,0,0,0,0.0,0.0,0.0,1.0,14999.55,0.0,0.0,1.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.1356353248043721,0,0,0,1,0,0,0.0,1.0,0,26.35,MEDIUM,1,0.162412,26.23,0,LOW,1,1,6901.43,0,23.22,23.22,0.0,1,3763,30.4,0,25.1,MEDIUM,NO_MAJOR_SIGNAL
MCH1047,2,16082.83,8041.415,2,1,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rana-Aurora,Telecom,Partnership,Bangalore,Karnataka,ACTIVE,1003.46,4814.0,1,0,0,7.01368764076296,7.01368764076296,0.4191404794435474,0.4191404794435474,0.3228170413613215,1,0,0,0,0,0,3.275008366167422e-05,1.0,0,13.71,LOW,1,0.182776,34.36,0,LOW,2,2,16082.83,0,28.795,37.89,0.0,2,3454,65.47,0,23.84,LOW,NO_MAJOR_SIGNAL
MCH1048,1,22101.1,22101.1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.4707489752825736,0,0,0,0,0,0,0.0,1.0,0,3.02,LOW,1,0.271042,82.08,0,MEDIUM,1,1,22101.1,0,28.41,28.41,0.0,1,500,53.68,1,31.29,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1049,3,48368.15,16122.716666666667,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.8692087939386411,0,0,0,0,0,0,0.0,1.0,0,7.77,LOW,1,0.272253,89.36,0,MEDIUM,3,3,48368.15,0,24.156666666666666,29.31,0.0,3,3644,92.67,1,38.83,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1050,1,556.07,556.07,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trivedi-Zachariah,Apparel,Sole Proprietor,Jaipur,Rajasthan,ACTIVE,2479.88,5699.0,1,0,0,-0.7757673758407664,0.7757673758407664,0.133461681778661,0.133461681778661,0.0349024965842752,0,0,0,0,0,0,3.6224091750425903e-06,1.0,0,0.84,LOW,1,0.24748,53.24,0,LOW,1,1,556.07,0,15.05,15.05,0.0,1,5308,21.7,0,14.79,LOW,NO_MAJOR_SIGNAL
MCH1051,1,19086.9,19086.9,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.3933672835672587,1,0,0,0,0,0,0.0,1.0,0,22.63,LOW,1,0.074023,9.69,0,LOW,1,1,19086.9,0,47.05,47.05,0.0,1,2746,48.83,0,23.97,LOW,NO_MAJOR_SIGNAL
