complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,complaint_id_raw,txn_id_raw,user_id_raw,merchant_id_raw,disputed_amount_negative_flag,disputed_amount_missing_flag,txn_id_missing_flag,transaction_timestamp_missing_flag,reported_timestamp_missing_flag,bank_response_timestamp_missing_flag,critical_flag,high_flag
CBK0001147,TXN00002456,USR89588,MCH2614,2026-02-10 03:16:00,2026-02-12 00:00:00,1805.23,double debit,customer says amount was debited twice.,IN_PROGRESS,2026-03-12 14:16:00,LOW,chatbot,CBK0001147,TXN00002456,USR89588,mch2614,0,0,0,0,0,0,0,0
CBK0001137,TXN00015627,USR35882,MCH8913,2026-01-21 01:07:00,2026-01-21 00:00:00,4853.7,dispute raised,Customer says amount was debited twice.,Resolved,2026-02-06 08:07:54,MEDIUM,CHATBOT,CBK0001137,TXN00015627,USR35882,MCH8913,0,0,0,0,0,0,0,0
CBK0002213,TXN00009870,USR79046,8457,2026-01-02 00:00:00,2026-02-17 00:00:00,0.12334,Merchant Not Delivered,Merchant service was not delivered after payment.,WIP,,MEDIUM,IVR,CBK0002213,TXN00009870,USR 79046,8457,0,0,0,0,0,1,0,0
CBK0000946,TXN00013141,USR22644,MCH9193,2026-01-26 00:00:00,2026-01-31 14:01:41,7638.7,Fraud Suspected,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,IN_PROGRESS,,CRITICAL,Email,CBK0000946,TXN00013141,USR22644,MCH9193,0,0,0,0,0,1,1,0
CBK0002366,TXN00012165,USR98915,MCH6399,2026-02-20 00:00:00,2026-02-20 00:00:00,,fraud,Customer says transaction was not authorized.,IN_PROGRESS,2026-02-23 21:48:00,LOW,Call Center,CBK0002366,TXN00012165,USR98915,MCH6399,0,1,0,0,0,0,0,0
CBK0002026,TXN00019737,USR27262,MCH4852,2026-01-13 00:00:00,2026-01-23 00:00:00,174.11,charged twice,Merchant service was not delivered after payment.,RESOLVED,2026-02-11 19:25:13,MEDIUM,IVR,CBK0002026,TXN00019737,USR27262,MCH-4852,0,0,0,0,0,0,0,0
CBK0001099,TXN00011289,USR94570,MCH4545,2026-01-30 04:49:00,2026-04-02 00:00:00,0.305,Account Takeover,Payment made to unknown merchant as per customer statement.,Closed,2026-02-28 00:00:00,CRITICAL,IVR,CBK0001099,TXN00011289,USR94570,MCH4545,0,0,0,0,0,0,1,0
CBK0001197,TXN00006253,USR19220,MCH7286,2026-01-08 00:00:00,2026-10-01 00:00:00,0.4952,dispute raised,Complaint received after multiple failed attempts.,Rejected,2026-01-20 14:43:26,MEDIUM,CHATBOT,CBK0001197,TXN00006253,USR19220,MCH7286,0,0,0,0,0,0,0,0
CBK0002347,TXN00010961,USR55439,MCH7581,2026-02-13 00:00:00,2026-03-15 00:00:00,1126.18,Wrong Amount,Customer says transaction was not authorized.,Rejected,,LOW,Branch,CBK0002347,TXN00010961,USR55439,MCH7581,0,0,0,0,0,1,0,0
CBK0000289,TXN00005764,USR38028,MCH6758,2026-03-12 23:03:00,,513.84,Fraud Suspected,User claims account was compromised before transaction.,REJECTED,,MEDIUM,chatbot,CBK0000289,TXN00005764,USR38028,MCH6758,0,0,0,0,1,1,0,0
CBK0002002,TXN00010298,USR97772,MCH5269,2026-01-03 00:00:00,2026-08-01 00:00:00,534.44,service failed,Merchant service was not delivered after payment. urgent,WIP,2026-02-03 23:32:04,CRITICAL,chatbot,CBK0002002,TXN00010298,USR97772,MCH-5269,0,0,0,0,0,0,1,0
CBK0000512,TXN00014054,USR_27947,MCH7667,2026-01-21 00:00:00,2026-01-26 00:00:00,4010.97,Unauthorized Transaction,Customer says amount was debited twice.,Closed,2026-01-30 00:00:00,LOW,CHATBOT,CBK0000512,TXN00014054,usr_27947,MCH7667,0,0,0,0,0,0,0,0
CBK0001155,TXN00010146,USR94690,MCH3957,2026-02-09 19:16:42,,2637.93,unauthorized_transaction,Payment made to unknown merchant as per customer statement.,In Progress,2026-02-23 06:16:42,MEDIUM,IVR,CBK0001155,TXN00010146,USR94690,MCH3957,0,0,0,0,1,0,0,0
CBK0001330,TXN00005940,USR67471,MCH8738,2026-03-14 00:34:00,2026-03-15 12:34:00,1360.01,DUP_DEBIT,Suspicious high-value payment disputed by customer.,Pending Bank,2026-03-27 00:00:00,MEDIUM,CHATBOT,CBK0001330,TXN00005940,usr67471,MCH8738,0,0,0,0,0,0,0,0
CBK0000259,TXN00017504,USR24872,MCH9291,2026-01-22 00:00:00,2026-01-30 09:27:00,12647.35,unauthorized_transaction,merchant service was not delivered after payment.,IN_PROGRESS,2026-02-13 00:00:00,LOW,chatbot,CBK0000259,TXN00017504,USR 24872,MCH9291,0,0,0,0,0,0,0,0
CBK0000164,TXN00010786,USR79443,MCH3729,2026-01-08 02:00:24,2026-01-18 00:00:00,,charged twice,Payment made to unknown merchant as per customer statement.,CLOSED,2026-01-23 04:00:24,MEDIUM,IVR,CBK0000164,TXN00010786,usr79443,MCH 3729,0,1,0,0,0,0,0,0
CBK0000681,TXN00006290,USR89588,MCH9105,2026-01-28 00:00:00,2026-02-02 00:00:00,,extra amount deducted,Merchant service was not delivered after payment.,REJECTED,2026-02-28 00:00:00,LOW,IVR,CBK0000681,TXN00006290,USR89588,MCH 9105,0,1,0,0,0,0,0,0
CBK0002683,TXN00004094,USR73891,MCH8154,2026-01-08 00:00:00,2026-01-06 00:00:00,2519.45,incorrect amount,suspicious high-value payment disputed by customer.,In Progress,2026-01-21 00:00:00,HIGH,ivr,CBK0002683,TXN00004094,USR73891,MCH8154,0,0,0,0,0,0,0,1
CBK0002792,TXN00005061,USR22154,MCH9022,2026-02-28 13:16:03,2026-02-03 00:00:00,1535.65,account hacked,Customer says amount was debited twice.,REJECTED,2026-03-30 00:00:00,HIGH,chatbot,CBK0002792,TXN00005061,USR22154,MCH9022,0,0,0,0,0,0,0,1
CBK0000594,TXN65742,USR32980,MCH7020,2026-02-19 00:00:00,,0.47,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Closed,2026-02-24 00:00:00,MEDIUM,Email,CBK0000594,TXN65742,USR32980,MCH7020,0,0,0,0,1,0,0,0
CBK0001247,TXN00003165,USR41524,MCH2342,2026-04-01 00:00:00,2026-01-09 00:00:00,2714.54,scam,Suspicious high-value payment disputed by customer.,Resolved,2026-02-03 00:00:00,MEDIUM,Call Center,CBK0001247,TXN00003165,usr41524,MCH2342,0,0,0,0,0,0,0,0
CBK0000566,TXN00000086,USR11727,MCH4948,2026-02-23 00:00:00,2026-02-24 02:13:00,411.83,unauth txn,User says UPI PIN was not entered by them.,REJECTED,2026-03-15 00:00:00,HIGH,CHATBOT,CBK0000566,TXN00000086,USR11727,MCH4948,0,0,0,0,0,0,0,1
CBK0002764,TXN00014418,USR_71468,MCH6403,2026-03-03 00:00:00,2026-03-05 00:00:00,1393.43,Service Not Provided,customer complaint text unclear due to poor call center notes.,PENDING_BANK,,MEDIUM,Email,CBK0002764,TXN00014418,usr_71468,MCH6403,0,0,0,0,0,1,0,0
CBK0000023,TXN00001464,92751,MCH2757,2026-03-14 00:00:00,2026-04-13 00:00:00,1112.83,Merchant Not Delivered,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,RESOLVED,2026-04-16 00:00:00,MEDIUM,ivr,CBK0000023,TXN00001464,92751,MCH2757,0,0,0,0,0,0,0,0
CBK0000361,TXN00012527,USR24926,MCH7438,2026-02-14 00:00:00,2026-02-16 18:13:57,0.2311,Duplicate Debit,User claims account was compromised before transaction.,CLOSED,,LOW,IVR,CBK0000361,TXN00012527,USR24926,MCH7438,0,0,0,0,0,1,0,0
CBK0002544,TXN00018727,USR27888,MCH5076,2026-03-20 01:26:11,2026-03-25 00:00:00,10161.06,delivery issue,merchant service was not delivered after payment.,Open,2026-04-24 20:26:11,HIGH,CHATBOT,CBK0002544,TXN00018727,USR27888,MCH5076,0,0,0,0,0,0,0,1
CBK0000430,TXN00018881,USR-47299,MCH3382,2026-02-11 03:20:31,2026-02-26 00:00:00,2108.9,fraud,Merchant service was not delivered after payment. urgent,IN_PROGRESS,2026-03-23 06:20:31,HIGH,ivr,CBK0000430,TXN00018881,USR-47299,MCH3382,0,0,0,0,0,0,0,1
CBK0001264,TXN00008143,USR92737,MCH4183,2026-03-22 17:21:29,2026-03-25 22:21:00,240.64,unauth txn,Merchant service was not delivered after payment.,OPEN,,LOW,ivr,CBK0001264,TXN00008143,USR92737,MCH4183,0,0,0,0,0,1,0,0
CBK0001919,TXN00005826,USR72795,MCH2259,2026-01-31 00:00:00,2026-02-04 14:03:00,1770.58,login compromised,Merchant service was not delivered after payment.,Rejected,2026-08-02 00:00:00,CRITICAL,IVR,CBK0001919,TXN00005826,USR72795,MCH2259,0,0,0,0,0,0,1,0
CBK0000069,TXN00002744,USR21384,MCH4252,2026-01-15 01:24:40,,840.07,delivery issue,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,In Progress,2026-02-11 00:00:00,CRITICAL,Email,CBK0000069,TXN00002744,USR21384,MCH4252,0,0,0,0,1,0,1,0
CBK0001760,TXN00017025,USR79110,MCH1320,,2026-03-24 23:17:18,,FRAUD,user says upi pin was not entered by them.,Resolved,,LOW,ivr,CBK0001760,TXN00017025,USR79110,MCH1320,0,1,0,1,0,1,0,0
CBK0002232,TXN00009269,USR99886,MCH1941,2026-01-26 19:24:45,2026-01-29 17:24:45,385.53,Merchant Not Delivered,Payment made to unknown merchant as per customer statement.,CLOSED,,MEDIUM,CHATBOT,CBK0002232,TXN00009269,USR99886,MCH 1941,0,0,0,0,0,1,0,0
CBK0002798,TXN66039,USR24087,MCH6965,2026-01-14 00:00:00,2026-01-22 06:27:51,0.1372,Service Not Provided,User reports money deducted but merchant denies receiving payment.,RESOLVED,2026-09-02 00:00:00,LOW,CHATBOT,CBK0002798,TXN66039,USR24087,MCH6965,0,0,0,0,0,0,0,0
CBK0000080,TXN00007630,USR70905,MCH7833,2026-01-11 19:35:00,2026-01-12 06:35:00,963.14,Duplicate Debit,user claims account was compromised before transaction.,IN_PROGRESS,2026-01-24 00:00:00,LOW,Branch,CBK0000080,TXN00007630,USR70905,MCH 7833,0,0,0,0,0,0,0,0
CBK0000789,TXN00006632,USR56899,MCH7296,2026-03-28 00:00:00,2026-04-03 00:00:00,4124.85,fraud,Merchant service was not delivered after payment.,WIP,,LOW,Email,CBK0000789,TXN00006632,USR56899,MCH7296,0,0,0,0,0,1,0,0
CBK0002564,TXN00013473,USR78994,2383,2026-02-16 02:17:00,2026-02-26 00:00:00,2485.28,Customer Dispute,Customer says amount was debited twice.,Pending Bank,2026-03-04 00:00:00,MEDIUM,CHATBOT,CBK0002564,TXN00013473,USR78994,2383,0,0,0,0,0,0,0,0
CBK0000359,TXN00014970,USR35935,3100,,2026-02-20 00:00:00,3336.7,Account Takeover,user reports money deducted but merchant denies receiving payment.,WIP,2026-03-12 18:19:47,MEDIUM,CHATBOT,CBK0000359,TXN00014970,USR35935,3100,0,0,0,1,0,0,0,0
CBK0002003,TXN00015085,USR71636,MCH4256,2026-01-16 00:00:00,2026-01-18 06:11:00,-956.46,Merchant Not Delivered,suspicious high-value payment disputed by customer.,In Progress,2026-02-09 00:00:00,MEDIUM,App,CBK0002003,TXN00015085,USR71636,mch4256,1,0,0,0,0,0,0,0
CBK0002463,TXN00014364,USR87498,MCH4089,2026-01-19 00:00:00,2026-01-21 17:18:16,2489.04,suspicious transaction,Customer says amount was debited twice.,Resolved,2026-02-11 00:00:00,LOW,chatbot,CBK0002463,TXN00014364,USR87498,MCH4089,0,0,0,0,0,0,0,0
CBK0001171,TXN00006955,USR26685,MCH3901,,2026-02-16 16:57:27,1336.86,ATO,payment made to unknown merchant as per customer statement.,OPEN,2026-02-19 00:00:00,LOW,chatbot,CBK0001171,TXN00006955,USR26685,MCH3901,0,0,0,1,0,0,0,0
CBK0002716,TXN-00003119,USR34955,MCH8691,,2026-02-24 21:58:58,1198.29,suspicious transaction,Payment made to unknown merchant as per customer statement.,CLOSED,,LOW,Email,CBK0002716,txn-00003119,USR34955,MCH8691,0,0,0,1,0,1,0,0
CBK0001839,TXN00004638,USR67862,MCH8953,2026-02-12 09:49:00,2026-02-12 11:49:00,1651.94,extra amount deducted,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,2026-02-17 00:00:00,HIGH,Email,CBK0001839,TXN00004638,USR67862,MCH 8953,0,0,0,0,0,0,0,1
CBK0002314,TXN00014145,USR21162,MCH2383,2026-03-09 00:00:00,2026-03-10 21:03:16,0.3888,suspicious transaction,Complaint received after multiple failed attempts.,CLOSED,2026-04-07 00:00:00,LOW,ivr,CBK0002314,TXN00014145,USR21162,MCH 2383,0,0,0,0,0,0,0,0
CBK0000406,TXN00007974,USR33394,MCH3064,,2026-03-11 00:00:00,4101.89,Wrong Amount,user claims account was compromised before transaction.,Open,2026-03-20 06:27:39,LOW,ivr,CBK0000406,TXN00007974,usr33394,MCH 3064,0,0,0,1,0,0,0,0
CBK0002718,TXN00013934,USR84084,MCH7370,2026-02-20 00:00:00,2026-03-22 23:15:17,7727.87,Account Takeover,User claims account was compromised before transaction.,OPEN,2026-04-04 00:00:00,LOW,ivr,CBK0002718,TXN00013934,usr84084,mch7370,0,0,0,0,0,0,0,0
CBK0002400,TXN00015733,USR87357,MCH9878,2026-01-22 00:00:00,2026-01-25 00:00:00,2313.86,UNAUTHORISED,customer complaint text unclear due to poor call center notes.,CLOSED,2026-02-22 00:00:00,MEDIUM,ivr,CBK0002400,TXN00015733,USR87357,MCH9878,0,0,0,0,0,0,0,0
CBK0002758,,USR60667,MCH2383,2026-03-23 06:19:08,2026-03-25 00:00:00,1225.29,fraud,payment made to unknown merchant as per customer statement.,IN_PROGRESS,2026-04-13 00:00:00,MEDIUM,Branch,CBK0002758,,USR60667,MCH2383,0,0,1,0,0,0,0,0
CBK0002250,TXN00008645,USR60783,MCH8613,2026-01-12 12:57:11,2026-01-19 00:00:00,5443.5,Unauthorized Transaction,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,CLOSED,,HIGH,Call Center,CBK0002250,TXN00008645,usr60783,MCH8613,0,0,0,0,0,1,0,1
CBK0000661,TXN00012553,USR87727,MCH8876,2026-01-21 17:03:00,2026-01-23 00:00:00,901.62,no service,User claims account was compromised before transaction.,Resolved,2026-02-15 06:03:00,LOW,IVR,CBK0000661,TXN00012553,USR87727,MCH 8876,0,0,0,0,0,0,0,0
CBK0001020,TXN84758,USR36590,MCH1368,2026-02-23 00:00:00,2026-02-26 00:00:00,,Service Not Provided,User says UPI PIN was not entered by them.,Open,2026-03-15 00:00:00,HIGH,ivr,CBK0001020,TXN84758,USR36590,mch1368,0,1,0,0,0,0,0,1
CBK0002104,TXN00006293,USR-48479,MCH8779,2026-08-01 00:00:00,2026-01-19 00:00:00,2214.27,DUP_DEBIT,Complaint received after multiple failed attempts.,REJECTED,,LOW,Branch,CBK0002104,TXN00006293,USR-48479,mch8779,0,0,0,0,0,1,0,0
CBK0002572,TXN00002760,USR49176,MCH2925,2026-01-15 14:26:16,2026-01-30 00:00:00,1345.79,unauth txn,User says UPI PIN was not entered by them.,RESOLVED,2026-09-02 00:00:00,LOW,ivr,CBK0002572,TXN00002760,USR 49176,MCH 2925,0,0,0,0,0,0,0,0
CBK0000929,TXN00014710,USR38547,MCH5541,2026-01-23 13:11:04,2026-02-03 12:11:04,3089.13,Unauthorized Transaction,Merchant service was not delivered after payment.,OPEN,2026-02-04 12:11:00,MEDIUM,IVR,CBK0000929,TXN00014710,USR38547,MCH 5541,0,0,0,0,0,0,0,0
CBK0002608,TXN00012654,USR13367,MCH8076,2026-03-29 04:01:37,,326.32,account hacked,User claims account was compromised before transaction.,RESOLVED,2026-04-24 19:01:00,LOW,App,CBK0002608,TXN00012654,usr13367,MCH8076,0,0,0,0,1,0,0,0
CBK0002430,TXN00019681,USR37650,MCH5655,2026-01-29 00:00:00,2026-02-04 00:00:00,9661.7,not delivered,Customer says amount was debited twice.,Resolved,2026-02-15 00:00:00,HIGH,ivr,CBK0002430,TXN00019681,USR37650,MCH5655,0,0,0,0,0,0,0,1
CBK0002156,TXN00013206,USR11987,MCH6665,2026-01-24 09:52:00,2026-01-25 04:52:00,26477.69,Customer Dispute,Complaint received after multiple failed attempts.,In Progress,,HIGH,Email,CBK0002156,TXN00013206,USR11987,MCH 6665,0,0,0,0,0,1,0,1
CBK0000366,TXN00002078,USR73403,MCH5076,2026-03-02 18:29:32,2026-03-04 00:00:00,6907.46,extra amount deducted,Customer says transaction was not authorized.,Closed,,LOW,Call Center,CBK0000366,TXN00002078,USR73403,MCH5076,0,0,0,0,0,1,0,0
CBK0000432,TXN94213,USR96958,MCH7286,2026-01-29 00:00:00,2026-02-01 00:00:00,-1411.26,unauth txn,User reports money deducted but merchant denies receiving payment.,RESOLVED,2026-02-02 00:00:00,HIGH,Email,CBK0000432,TXN94213,USR96958,MCH7286,1,0,0,0,0,0,0,1
CBK0001972,TXN00001376,USR12133,MCH6555,2026-02-01 02:24:08,2026-02-06 04:24:08,1261.15,item not received,Merchant service was not delivered after payment.,Closed,,MEDIUM,chatbot,CBK0001972,TXN00001376,USR12133,MCH6555,0,0,0,0,0,1,0,0
CBK0001250,TXN00015587,USR11697,MCH8741,2026-02-02 00:00:00,2026-02-05 00:00:00,11364.57,no service,Complaint received after multiple failed attempts.,PENDING_BANK,,LOW,App,CBK0001250,TXN00015587,USR11697,MCH-8741,0,0,0,0,0,1,0,0
CBK0001283,TXN00002013,USR31545,MCH5974,,2026-03-04 02:59:29,0.439,unauth txn,Suspicious high-value payment disputed by customer.,REJECTED,2026-03-28 00:00:00,MEDIUM,Call Center,CBK0001283,TXN00002013,USR31545,MCH5974,0,0,0,1,0,0,0,0
CBK0000973,TXN00016040,USR25345,MCH3851,2026-02-04 00:00:00,2026-02-06 00:00:00,0.3127,unauth txn,Complaint received after multiple failed attempts.,PENDING_BANK,2026-03-07 00:00:00,LOW,IVR,CBK0000973,TXN00016040,USR25345,MCH3851,0,0,0,0,0,0,0,0
CBK0000578,TXN00006468,USR71457,MCH6810,2026-01-09 11:52:43,2026-01-11 20:52:43,7884.04,UNAUTHORISED,Suspicious high-value payment disputed by customer.,IN_PROGRESS,2026-01-13 00:00:00,LOW,ivr,CBK0000578,TXN00006468,USR71457,mch6810,0,0,0,0,0,0,0,0
CBK0001696,TXN00019601,USR19556,MCH5844,2026-03-08 00:00:00,2026-03-09 13:14:00,9956.85,ATO,Suspicious high-value payment disputed by customer.,Closed,2026-03-04 00:00:00,HIGH,CHATBOT,CBK0001696,TXN00019601,USR19556,MCH5844,0,0,0,0,0,0,0,1
CBK0002333,TXN00002832,USR10042,MCH1611,2026-03-02 13:26:00,2026-03-05 00:00:00,8214.17,Account Takeover,Merchant service was not delivered after payment.,Rejected,2026-04-04 00:00:00,MEDIUM,IVR,CBK0002333,TXN00002832,USR10042,mch1611,0,0,0,0,0,0,0,0
CBK0001122,TXN00015275,USR-61052,MCH8979,2026-07-03 00:00:00,2026-03-13 16:27:48,320.53,not delivered,Complaint received after multiple failed attempts.,REJECTED,2026-04-11 16:27:48,MEDIUM,ivr,CBK0001122,TXN00015275,USR-61052,MCH 8979,0,0,0,0,0,0,0,0
CBK0000959,TXN00011129,USR50320,MCH6319,2026-02-07 00:00:00,2026-03-09 11:52:00,4888.42,unauth txn,User reports money deducted but merchant denies receiving payment.,Closed,,MEDIUM,Email,CBK0000959,TXN00011129,USR50320,MCH6319,0,0,0,0,0,1,0,0
CBK0001968,,USR46599,MCH1320,2026-03-21 00:00:00,2026-03-23 00:00:00,2799.09,dispute raised,Customer says amount was debited twice.,Pending Bank,2026-04-13 03:36:00,MEDIUM,Email,CBK0001968,,USR46599,MCH1320,0,0,1,0,0,0,0,0
CBK0001828,TXN00016623,USR-59679,MCH8755,2026-01-05 00:00:00,2026-01-15 08:21:37,818.66,account hacked,Customer says amount was debited twice. pls check asap,PENDING_BANK,2026-02-03 08:21:37,HIGH,Branch,CBK0001828,TXN00016623,USR-59679,MCH8755,0,0,0,0,0,0,0,1
CBK0001654,TXN00012039,USR76792,MCH6492,2026-05-02 00:00:00,2026-02-07 05:28:28,0.966,extra amount deducted,User reports money deducted but merchant denies receiving payment.,WIP,2026-02-22 05:28:00,HIGH,Call Center,CBK0001654,TXN00012039,USR76792,MCH6492,0,0,0,0,0,0,0,1
CBK0002440,TXN-00014010,USR71922,MCH6703,2026-01-31 08:39:15,2026-02-01 08:39:00,1883.55,unauth txn,complaint received after multiple failed attempts.,WIP,,HIGH,ivr,CBK0002440,txn-00014010,usr71922,MCH6703,0,0,0,0,0,1,0,1
CBK0001278,TXN00008385,USR17657,MCH3542,2026-02-20 00:00:00,2026-06-04 00:00:00,1944.27,dispute raised,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Resolved,,LOW,CHATBOT,CBK0001278,TXN00008385,USR17657,MCH-3542,0,0,0,0,0,1,0,0
CBK0002370,TXN00001816,USR_24664,MCH3992,2026-03-25 00:00:00,2026-03-26 19:41:41,6501.45,DUP_DEBIT,Payment made to unknown merchant as per customer statement.,PENDING_BANK,2026-04-13 00:00:00,LOW,Call Center,CBK0002370,TXN00001816,usr_24664,MCH3992,0,0,0,0,0,0,0,0
CBK0001105,TXN00019695,USR34180,MCH6310,2026-03-04 00:00:00,,1782.96,Duplicate Debit,User reports money deducted but merchant denies receiving payment.,OPEN,,MEDIUM,chatbot,CBK0001105,TXN00019695,USR34180,MCH6310,0,0,0,0,1,1,0,0
CBK0000180,TXN00019503,USR70812,MCH3936,2026-01-18 00:00:00,2026-01-22 00:00:00,1537.27,not delivered,user claims account was compromised before transaction.,WIP,2026-02-02 00:00:00,LOW,Branch,CBK0000180,TXN00019503,USR70812,MCH3936,0,0,0,0,0,0,0,0
CBK0000369,TXN00008758,USR_86274,MCH3418,2026-03-18 04:15:38,2026-03-20 15:15:38,0.11352,UNAUTHORISED,User says UPI PIN was not entered by them.,IN_PROGRESS,,MEDIUM,ivr,CBK0000369,TXN00008758,usr_86274,MCH3418,0,0,0,0,0,1,0,0
CBK0002303,TXN00016593,USR96415,MCH1320,2026-01-11 00:00:00,2026-01-13 00:00:00,6511.97,Unauthorized Transaction,Customer complaint text unclear due to poor call center notes.,Resolved,2026-01-22 01:23:48,MEDIUM,ivr,CBK0002303,TXN00016593,usr96415,MCH1320,0,0,0,0,0,0,0,0
CBK0001525,TXN00004103,USR18453,MCH7793,,2026-01-28 00:00:00,4864.83,ATO,User claims account was compromised before transaction.,CLOSED,2026-02-01 00:00:00,MEDIUM,Email,CBK0001525,TXN00004103,USR 18453,MCH-7793,0,0,0,1,0,0,0,0
CBK0000316,TXN00016400,USR40842,MCH3815,2026-03-18 00:00:00,2026-04-18 00:00:00,1616.81,Wrong Amount,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,Resolved,2026-03-05 00:00:00,MEDIUM,CHATBOT,CBK0000316,TXN00016400,USR40842,MCH3815,0,0,0,0,0,0,0,0
CBK0001238,TXN00006193,USR35817,7061,2026-03-12 00:00:00,2026-03-13 00:00:00,26207.56,FRAUD,Customer says amount was debited twice.,In Progress,2026-10-04 00:00:00,LOW,App,CBK0001238,TXN00006193,USR35817,7061,0,0,0,0,0,0,0,0
CBK0002585,TXN00018187,USR23937,MCH4560,2026-03-24 00:00:00,2026-03-27 00:00:00,,ATO,Customer complaint text unclear due to poor call center notes.,RESOLVED,2026-04-14 14:38:55,MEDIUM,chatbot,CBK0002585,TXN00018187,USR23937,MCH4560,0,1,0,0,0,0,0,0
CBK0001427,TXN00019824,USR76289,MCH5563,2026-01-06 00:00:00,2026-02-05 00:00:00,755.08,no service,Suspicious high-value payment disputed by customer.,Rejected,2026-03-03 08:07:00,CRITICAL,Email,CBK0001427,TXN00019824,USR76289,MCH5563,0,0,0,0,0,0,1,0
CBK0002514,TXN00001801,USR_99493,MCH3992,2026-03-12 14:53:38,,4455.8,not delivered,Customer says transaction was not authorized.,PENDING_BANK,2026-03-19 00:00:00,LOW,Branch,CBK0002514,TXN00001801,usr_99493,mch3992,0,0,0,0,1,0,0,0
