component_id,user_count,merchant_count,edge_count,total_transactions,total_amount,total_chargebacks,chargeback_rate,network_density,max_shared_users_per_merchant,shared_merchant_count,avg_relationship_risk,max_relationship_risk,network_risk_score,risk_band,signals
2322,5,1,5,5,60899.54,2,0.4,1.0,5,1,41.19,70.69,69.62,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2346,5,1,5,5,58058.46,3,0.6,1.0,5,1,40.9,56.67,69.56,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2450,5,1,5,5,64396.16,2,0.4,1.0,5,1,39.61,59.39,69.31,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1560,5,1,5,5,88019.81,1,0.2,1.0,5,1,36.99,62.57,68.78,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3637,5,1,5,5,60539.13,2,0.4,1.0,5,1,36.35,59.22,68.65,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1676,5,1,5,5,70533.87,2,0.4,1.0,5,1,36.12,55.22,68.61,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2832,5,1,5,5,72642.56,2,0.4,1.0,5,1,35.99,53.87,68.58,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
28,5,1,5,5,87112.33,1,0.2,1.0,5,1,35.99,59.37,68.58,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1223,5,1,5,5,48580.87,2,0.4,1.0,5,1,35.86,51.53,68.56,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1929,5,1,5,5,66810.87,2,0.4,1.0,5,1,35.65,53.85,68.51,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
25,5,1,5,5,62937.02,2,0.4,1.0,5,1,35.47,52.5,68.48,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1905,4,1,4,4,46445.43,3,0.75,1.0,4,1,49.57,63.8,68.4,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2643,5,1,5,5,65392.73,2,0.4,1.0,5,1,35.01,55.74,68.38,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3336,4,1,4,4,41843.09,3,0.75,1.0,4,1,49.33,64.35,68.35,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1154,5,1,5,5,58766.01,2,0.4,1.0,5,1,34.7,60.59,68.32,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3104,5,1,5,5,63464.84,1,0.2,1.0,5,1,34.65,73.42,68.31,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4182,5,1,5,5,100149.6,1,0.2,1.0,5,1,33.77,59.94,68.14,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2245,5,1,5,5,63310.47,1,0.2,1.0,5,1,33.72,60.59,68.13,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3270,5,1,5,5,64939.23,1,0.2,1.0,5,1,33.41,48.1,68.07,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
558,5,1,5,5,47960.06,2,0.4,1.0,5,1,33.29,52.17,68.04,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1381,5,1,5,5,66968.76,1,0.2,1.0,5,1,33.17,54.48,68.02,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
448,5,1,5,5,74826.31,1,0.2,1.0,5,1,33.18,60.49,68.02,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2553,4,1,4,4,92967.45,1,0.25,1.0,4,1,47.55,79.78,68.0,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2112,5,1,5,5,41348.6,1,0.2,1.0,5,1,32.86,48.29,67.96,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2638,5,1,5,5,48521.1,1,0.2,1.0,5,1,32.58,50.97,67.9,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3213,5,1,5,5,51485.87,1,0.2,1.0,5,1,32.59,55.44,67.9,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1667,5,1,5,5,66652.6,1,0.2,1.0,5,1,32.55,50.23,67.89,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1168,5,1,5,5,44464.33,2,0.4,1.0,5,1,32.34,54.79,67.85,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4707,5,1,5,5,81133.25,1,0.2,1.0,5,1,32.3,58.92,67.84,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3793,5,1,5,5,49283.86,1,0.2,1.0,5,1,32.08,46.53,67.8,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1302,5,1,5,5,52723.63,1,0.2,1.0,5,1,31.97,63.63,67.78,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2973,5,1,5,5,44746.0,1,0.2,1.0,5,1,31.89,52.75,67.76,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4809,4,1,4,4,31973.89,2,0.5,1.0,4,1,46.19,55.45,67.73,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1867,5,1,5,5,83540.7,1,0.2,1.0,5,1,31.36,49.22,67.65,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1895,5,1,5,5,53489.54,1,0.2,1.0,5,1,31.2,48.01,67.62,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3307,5,1,5,5,77807.41,1,0.2,1.0,5,1,31.2,54.26,67.62,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
38,5,1,5,5,49037.12,1,0.2,1.0,5,1,31.14,47.81,67.61,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
463,5,1,5,5,65393.54,1,0.2,1.0,5,1,30.72,51.81,67.53,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3205,5,1,5,5,40301.88,1,0.2,1.0,5,1,30.59,48.33,67.5,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1495,5,1,5,5,69860.83,1,0.2,1.0,5,1,30.45,46.64,67.47,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1170,9,2,10,10,148764.35,2,0.2,0.5556,8,2,30.66,59.02,67.44,HIGH,SHARED_MERCHANT|MULTIPLE_SHARED_MERCHANTS|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
761,5,1,5,5,64304.45,1,0.2,1.0,5,1,30.13,54.79,67.41,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
65,5,1,5,5,36598.28,1,0.2,1.0,5,1,29.83,51.82,67.35,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1940,5,1,5,5,70896.29,1,0.2,1.0,5,1,29.77,52.15,67.34,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3351,5,1,5,5,62639.0,1,0.2,1.0,5,1,29.79,47.29,67.34,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4038,5,1,5,5,42395.86,1,0.2,1.0,5,1,29.76,56.14,67.33,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3022,5,1,5,5,29550.59,1,0.2,1.0,5,1,29.57,52.33,67.3,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
958,5,1,5,5,59802.57,1,0.2,1.0,5,1,29.58,52.74,67.3,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3374,5,1,5,5,59864.34,1,0.2,1.0,5,1,29.25,48.65,67.23,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1862,4,1,4,4,64811.12,1,0.25,1.0,4,1,43.18,50.12,67.12,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1898,4,1,4,4,70094.53,1,0.25,1.0,4,1,42.86,76.62,67.06,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
137,5,1,5,5,53878.19,1,0.2,1.0,5,1,28.19,55.58,67.02,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1959,5,1,5,5,50918.52,1,0.2,1.0,5,1,28.04,49.07,66.99,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1282,5,1,5,5,61190.85,1,0.2,1.0,5,1,28.02,46.8,66.99,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
970,5,1,5,5,58132.88,1,0.2,1.0,5,1,28.03,59.35,66.99,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
764,5,1,5,5,55073.47,1,0.2,1.0,5,1,27.94,48.66,66.97,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2372,5,1,5,5,51547.59,1,0.2,1.0,5,1,27.96,45.46,66.97,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1235,5,1,5,5,66930.75,1,0.2,1.0,5,1,27.94,48.51,66.97,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4984,5,1,5,5,54933.63,1,0.2,1.0,5,1,27.93,52.41,66.97,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4646,4,1,4,4,85446.94,1,0.25,1.0,4,1,42.31,80.19,66.95,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
493,5,1,5,5,36461.09,1,0.2,1.0,5,1,27.86,52.73,66.95,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1853,4,1,4,4,71883.3,2,0.5,1.0,4,1,42.27,59.27,66.94,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3794,5,1,5,5,53958.57,1,0.2,1.0,5,1,27.73,48.61,66.93,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1180,5,1,5,5,54749.21,1,0.2,1.0,5,1,27.62,55.65,66.91,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3603,5,1,5,5,43617.99,1,0.2,1.0,5,1,27.61,55.76,66.9,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3547,4,1,4,4,43841.92,2,0.5,1.0,4,1,42.01,70.7,66.89,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1167,5,1,5,5,48505.45,1,0.2,1.0,5,1,27.39,44.66,66.86,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
622,5,1,5,5,56347.33,1,0.2,1.0,5,1,27.32,53.06,66.85,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
478,6,1,6,6,107132.75,1,0.1667,1.0,6,1,33.76,60.42,66.8,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
786,5,1,5,5,47644.57,1,0.2,1.0,5,1,27.09,47.0,66.8,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2053,5,1,5,5,45028.71,1,0.2,1.0,5,1,27.0,41.9,66.78,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4331,2,1,2,2,19604.76,2,1.0,1.0,2,1,71.97,72.69,66.78,HIGH,HIGH_CHARGEBACK_CONCENTRATION|HIGH_RELATIONSHIP_RISK
3832,4,1,4,4,47919.5,1,0.25,1.0,4,1,41.33,71.75,66.75,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
852,6,1,6,6,96319.87,1,0.1667,1.0,6,1,33.43,59.63,66.74,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2980,7,1,7,7,93632.82,1,0.1429,1.0,7,1,34.39,61.15,66.74,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3771,3,1,3,3,60618.7,2,0.6667,1.0,3,1,56.09,62.35,66.72,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2780,6,1,6,6,101216.96,1,0.1667,1.0,6,1,33.27,60.62,66.7,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
2306,5,1,5,5,36138.55,1,0.2,1.0,5,1,26.55,50.96,66.69,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
732,4,1,4,4,68632.19,2,0.5,1.0,4,1,41.01,59.31,66.69,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1453,6,1,6,6,85381.2,1,0.1667,1.0,6,1,32.98,60.2,66.65,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3152,4,1,4,4,25699.8,2,0.5,1.0,4,1,40.75,70.84,66.64,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3169,4,1,4,4,40819.34,1,0.25,1.0,4,1,40.55,79.59,66.6,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3512,5,1,5,5,47393.67,1,0.2,1.0,5,1,26.03,45.09,66.59,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1850,4,1,4,4,34184.46,1,0.25,1.0,4,1,40.21,52.37,66.53,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3360,4,1,4,4,16995.84,1,0.25,1.0,4,1,40.15,52.93,66.52,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2398,5,1,5,5,36170.77,1,0.2,1.0,5,1,25.45,46.19,66.47,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3805,4,1,4,4,75950.83,1,0.25,1.0,4,1,39.86,61.41,66.46,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2380,5,1,5,5,28820.35,1,0.2,1.0,5,1,25.39,50.77,66.46,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
979,4,1,4,4,65104.99,2,0.5,1.0,4,1,39.56,54.33,66.4,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2932,6,1,6,6,41270.72,1,0.1667,1.0,6,1,31.7,57.4,66.39,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1329,3,1,3,3,45200.09,3,1.0,1.0,3,1,54.14,55.8,66.33,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2752,3,1,3,3,47166.97,3,1.0,1.0,3,1,53.91,55.47,66.29,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1701,4,1,4,4,67510.12,1,0.25,1.0,4,1,38.96,58.28,66.28,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3913,6,1,6,6,61273.83,1,0.1667,1.0,6,1,31.09,54.01,66.27,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1224,6,1,6,6,70057.22,1,0.1667,1.0,6,1,30.99,75.09,66.25,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
254,4,1,4,4,74295.29,1,0.25,1.0,4,1,38.84,60.59,66.25,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
5264,4,1,4,4,25890.79,2,0.5,1.0,4,1,38.76,67.3,66.24,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1313,4,1,4,4,26185.15,2,0.5,1.0,4,1,38.76,56.34,66.24,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3396,4,1,4,4,55441.04,2,0.5,1.0,4,1,38.74,58.59,66.23,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
1575,4,1,4,4,39908.42,1,0.25,1.0,4,1,38.68,54.76,66.22,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
628,4,1,4,4,58643.55,2,0.5,1.0,4,1,38.64,57.71,66.22,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
250,4,1,4,4,22227.87,2,0.5,1.0,4,1,38.44,46.84,66.17,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2543,4,1,4,4,54046.05,2,0.5,1.0,4,1,38.27,56.37,66.14,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
3735,4,1,4,4,53762.41,1,0.25,1.0,4,1,38.23,80.23,66.13,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
72,4,1,4,4,67638.26,1,0.25,1.0,4,1,38.21,60.42,66.13,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION
2850,6,1,6,6,29534.3,1,0.1667,1.0,6,1,30.39,64.79,66.13,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
